dim_0,dim_1,worker_id,item,path
-0.8559137,1.2112691,81492,CFD-BM-038-007-HO,resources/CFD-BM-038-007-HO.JPEG
0.65717274,0.20511022,81492,CFD-BM-038-017-F,resources/CFD-BM-038-017-F.JPEG
1.1838001,-0.36284763,81492,CFD-BM-038-038-A,resources/CFD-BM-038-038-A.JPEG
-1.0834473,0.91013455,81492,CFD-WF-001-009-HO,resources/CFD-WF-001-009-HO.JPEG
0.59077626,-0.82172424,81492,CFD-WF-001-016-A,resources/CFD-WF-001-016-A.JPEG
-0.15579376,-0.07986045,81492,CFD-WF-001-027-F,resources/CFD-WF-001-027-F.JPEG
0.2188397,-1.2780405,81492,CFD-WF-020-012-A,resources/CFD-WF-020-012-A.JPEG
-1.0922127,0.80186266,81492,CFD-WF-020-023-HO,resources/CFD-WF-020-023-HO.JPEG
0.33500656,-0.25174284,81492,CFD-WF-020-027-F,resources/CFD-WF-020-027-F.JPEG
0.7236611,-1.0466924,81492,CFD-WF-026-008-A,resources/CFD-WF-026-008-A.JPEG
-0.4203527,1.0847497,81492,CFD-WF-026-017-HO,resources/CFD-WF-026-017-HO.JPEG
0.4226401,-0.2601365,81492,CFD-WF-026-024-F,resources/CFD-WF-026-024-F.JPEG
-0.98905134,1.0753193,81492,CFD-WM-023-004-HO,resources/CFD-WM-023-004-HO.JPEG
0.7909192,-0.6584909,81492,CFD-WM-023-012-A,resources/CFD-WM-023-012-A.JPEG
0.12662771,0.2429421,81492,CFD-WM-023-015-F,resources/CFD-WM-023-015-F.JPEG
-0.84233654,1.017944,81492,CFD-WM-033-007-HO,resources/CFD-WM-033-007-HO.JPEG
0.90825987,-0.85065746,81492,CFD-WM-033-014-A,resources/CFD-WM-033-014-A.JPEG
-0.04448279,0.037524458,81492,CFD-WM-033-053-F,resources/CFD-WM-033-053-F.JPEG
-0.6610892,1.0407398,81492,CFD-WM-038-005-HO,resources/CFD-WM-038-005-HO.JPEG
0.8793253,0.39685097,81492,CFD-WM-038-011-A,resources/CFD-WM-038-011-A.JPEG
1.0125177,0.27681217,81492,CFD-WM-038-018-F,resources/CFD-WM-038-018-F.JPEG
-0.6466372,0.6649328,81753,CFD-BF-002-004-HO,resources/CFD-BF-002-004-HO.JPEG
1.1261985,-0.7282489,81753,CFD-BF-002-018-A,resources/CFD-BF-002-018-A.JPEG
-0.5925169,-0.19854313,81753,CFD-BF-002-022-F,resources/CFD-BF-002-022-F.JPEG
-0.64161396,0.29658222,81753,CFD-BF-005-005-HO,resources/CFD-BF-005-005-HO.JPEG
0.5336224,-0.30846754,81753,CFD-BF-005-020-A,resources/CFD-BF-005-020-A.JPEG
-0.44939938,-0.12231459,81753,CFD-BF-005-022-F,resources/CFD-BF-005-022-F.JPEG
-0.5932896,0.42405662,81753,CFD-BF-050-004-HO,resources/CFD-BF-050-004-HO.JPEG
0.46137783,-1.1172628,81753,CFD-BF-050-012-A,resources/CFD-BF-050-012-A.JPEG
-0.3536617,-0.33048505,81753,CFD-BF-050-036-F,resources/CFD-BF-050-036-F.JPEG
0.5335346,0.49174324,81753,CFD-BM-002-002-F,resources/CFD-BM-002-002-F.JPEG
-0.33553842,0.46752393,81753,CFD-BM-002-007-HO,resources/CFD-BM-002-007-HO.JPEG
0.059356388,0.18433455,81753,CFD-BM-002-016-A,resources/CFD-BM-002-016-A.JPEG
-0.62167156,0.41761035,81753,CFD-BM-009-003-HO,resources/CFD-BM-009-003-HO.JPEG
0.1112199,-0.024533095,81753,CFD-BM-009-008-A,resources/CFD-BM-009-008-A.JPEG
-0.47242373,-0.09280783,81753,CFD-BM-009-009-F,resources/CFD-BM-009-009-F.JPEG
-0.227526,0.44851562,81753,CFD-BM-038-007-HO,resources/CFD-BM-038-007-HO.JPEG
0.23136829,0.85319525,81753,CFD-BM-038-017-F,resources/CFD-BM-038-017-F.JPEG
1.2196047,0.31534523,81753,CFD-BM-038-038-A,resources/CFD-BM-038-038-A.JPEG
0.37886235,0.7625207,81753,CFD-WF-001-009-HO,resources/CFD-WF-001-009-HO.JPEG
0.09646493,-0.23769784,81753,CFD-WF-001-016-A,resources/CFD-WF-001-016-A.JPEG
0.055477984,-0.6374002,81753,CFD-WF-001-027-F,resources/CFD-WF-001-027-F.JPEG
0.6441303,-0.010496026,81753,CFD-WF-020-012-A,resources/CFD-WF-020-012-A.JPEG
